SCIACOVELLI SINDACO - CI PIACE!,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,BARI CITTÀ D'EUROPA,MOVIMENTO CINQUE STELLE,GENERAZIONE URBANA,BARI BENE COMUNE,PCI - PARTITO COMUNISTA ITALIANO,LAFORGIA SINDACO,NOI POPOLARI,PROGETTO BARI CON LECCESE,PARTITO DEMOCRATICO,LECCESE SINDACO,CON LECCESE SINDACO,DECARO PER BARI,EUROPA VERDE - VERDI,BARI X FABIO ROMITO,AGORÀ,MARIO CONCA PER BARI,NOI MODERATI - RIPRENDIAMOCI IL FUTURO,LIBERALI E RIFORMISTI - nPSI,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,FRATELLI D'ITALIA,FORZA ITALIA,ROMITO SINDACO,PENSIONATI E INVALIDI,OLTRE MANGANO SINDACO,TOT_SEZIONE,COALIZIONE ROMITO,COALIZIONE LECCESE,COALIZIONE LAFORGIA,SEZIONE
0,0,10,24,4,19,1,16,9,4,59,21,32,28,3,6,1,0,9,1,22,37,14,37,0,0,357,127,156,74,315
2,2,27,27,8,12,1,15,13,10,109,45,41,51,6,12,0,1,4,7,51,56,13,47,0,2,562,191,275,90,316
0,0,9,22,1,14,0,12,5,5,43,19,30,107,6,8,0,3,1,4,28,27,14,29,0,3,390,114,215,58,317
3,2,12,17,2,28,1,34,5,28,102,45,40,33,7,18,0,0,2,1,13,39,10,37,0,0,479,120,260,94,318
0,0,8,20,2,4,1,14,0,3,39,13,13,38,0,6,1,0,5,2,26,29,10,16,4,2,256,99,106,49,319
6,0,12,43,9,38,2,44,14,39,113,40,32,38,14,13,0,5,5,3,15,52,16,44,1,1,599,154,290,148,320
6,1,12,37,3,9,2,12,8,6,137,19,33,82,1,12,0,2,3,6,23,44,29,30,4,0,521,153,286,75,321
2,1,7,14,1,15,0,14,6,8,65,18,18,50,0,8,0,1,2,1,32,27,14,20,0,2,326,105,165,51,322
1,1,13,31,3,17,3,19,11,3,123,19,21,38,8,10,1,1,23,7,43,36,19,60,0,0,511,200,223,86,323
1,0,12,24,17,28,2,51,2,20,115,32,27,27,9,12,0,2,2,4,13,57,22,25,0,0,504,137,232,134,324
